ID;ACCESSION;DEFINITION;VERSION;REFERENCE;ORGANISM;AUTHORS;TITLE;Assembly Method;Sequencing Technology;Location/Qualifiers;mol_type;strain;host;geo_loc_name;collection_date;Date_Soumission
MZ561793.1;"MZ561793
";"Coxsackievirus A1 isolate SAMPLE_21_MOLECULE_1149 polyprotein gene,
";"MZ561793.1
";"1  (bases 1 to 2220)
";"Coxsackievirus A1
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2220
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561792.1;"MZ561792
";"Coxsackievirus A1 isolate SAMPLE_26_MOLECULE_2259 polyprotein gene,
";"MZ561792.1
";"1  (bases 1 to 2220)
";"Coxsackievirus A1
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2220
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561791.1;"MZ561791
";"Coxsackievirus A1 isolate SAMPLE_26_MOLECULE_938 polyprotein gene,
";"MZ561791.1
";"1  (bases 1 to 2220)
";"Coxsackievirus A1
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2220
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561790.1;"MZ561790
";"Coxsackievirus A1 isolate SAMPLE_21_MOLECULE_882 polyprotein gene,
";"MZ561790.1
";"1  (bases 1 to 2220)
";"Coxsackievirus A1
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2220
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561789.1;"MZ561789
";"Coxsackievirus A1 isolate SAMPLE_24_MOLECULE_1597 polyprotein gene,
";"MZ561789.1
";"1  (bases 1 to 2220)
";"Coxsackievirus A1
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2220
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561788.1;"MZ561788
";"Coxsackievirus A1 isolate SAMPLE_11_MOLECULE_858 polyprotein gene,
";"MZ561788.1
";"1  (bases 1 to 2220)
";"Coxsackievirus A1
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2220
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561787.1;"MZ561787
";"Coxsackievirus A1 isolate SAMPLE_26_MOLECULE_833 polyprotein gene,
";"MZ561787.1
";"1  (bases 1 to 2220)
";"Coxsackievirus A1
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2220
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561786.1;"MZ561786
";"Coxsackievirus A1 isolate SAMPLE_24_MOLECULE_229 polyprotein gene,
";"MZ561786.1
";"1  (bases 1 to 2220)
";"Coxsackievirus A1
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2220
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561785.1;"MZ561785
";"Coxsackievirus A1 isolate SAMPLE_26_MOLECULE_82 polyprotein gene,
";"MZ561785.1
";"1  (bases 1 to 2220)
";"Coxsackievirus A1
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2220
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561784.1;"MZ561784
";"Coxsackievirus A1 isolate SAMPLE_26_MOLECULE_1772 polyprotein gene,
";"MZ561784.1
";"1  (bases 1 to 2220)
";"Coxsackievirus A1
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2220
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561783.1;"MZ561783
";"Coxsackievirus A1 isolate SAMPLE_26_MOLECULE_190 polyprotein gene,
";"MZ561783.1
";"1  (bases 1 to 2220)
";"Coxsackievirus A1
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2220
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561782.1;"MZ561782
";"Coxsackievirus A1 isolate SAMPLE_26_MOLECULE_625 polyprotein gene,
";"MZ561782.1
";"1  (bases 1 to 2220)
";"Coxsackievirus A1
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2220
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561781.1;"MZ561781
";"Coxsackievirus A1 isolate SAMPLE_26_MOLECULE_175 polyprotein gene,
";"MZ561781.1
";"1  (bases 1 to 2220)
";"Coxsackievirus A1
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2220
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561780.1;"MZ561780
";"Coxsackievirus A11 isolate SAMPLE_27_MOLECULE_186 polyprotein gene,
";"MZ561780.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561779.1;"MZ561779
";"Coxsackievirus A11 isolate SAMPLE_27_MOLECULE_387 polyprotein gene,
";"MZ561779.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561778.1;"MZ561778
";"Coxsackievirus A11 isolate SAMPLE_27_MOLECULE_27 polyprotein gene,
";"MZ561778.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561777.1;"MZ561777
";"Coxsackievirus A11 isolate SAMPLE_27_MOLECULE_6 polyprotein gene,
";"MZ561777.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561776.1;"MZ561776
";"Coxsackievirus A11 isolate SAMPLE_27_MOLECULE_476 polyprotein gene,
";"MZ561776.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561775.1;"MZ561775
";"Coxsackievirus A11 isolate SAMPLE_27_MOLECULE_721 polyprotein gene,
";"MZ561775.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561774.1;"MZ561774
";"Coxsackievirus A11 isolate SAMPLE_24_MOLECULE_2256 polyprotein
";"MZ561774.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561773.1;"MZ561773
";"Coxsackievirus A11 isolate SAMPLE_24_MOLECULE_1255 polyprotein
";"MZ561773.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561772.1;"MZ561772
";"Coxsackievirus A11 isolate SAMPLE_27_MOLECULE_730 polyprotein gene,
";"MZ561772.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561771.1;"MZ561771
";"Coxsackievirus A11 isolate SAMPLE_27_MOLECULE_127 polyprotein gene,
";"MZ561771.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561770.1;"MZ561770
";"Coxsackievirus A11 isolate SAMPLE_27_MOLECULE_592 polyprotein gene,
";"MZ561770.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561769.1;"MZ561769
";"Coxsackievirus A11 isolate SAMPLE_27_MOLECULE_325 polyprotein gene,
";"MZ561769.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561768.1;"MZ561768
";"Coxsackievirus A11 isolate SAMPLE_27_MOLECULE_573 polyprotein gene,
";"MZ561768.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561767.1;"MZ561767
";"Coxsackievirus A11 isolate SAMPLE_27_MOLECULE_71 polyprotein gene,
";"MZ561767.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561766.1;"MZ561766
";"Coxsackievirus A11 isolate SAMPLE_27_MOLECULE_600 polyprotein gene,
";"MZ561766.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561765.1;"MZ561765
";"Coxsackievirus A11 isolate SAMPLE_27_MOLECULE_778 polyprotein gene,
";"MZ561765.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561764.1;"MZ561764
";"Coxsackievirus A11 isolate SAMPLE_4_MOLECULE_1136 polyprotein gene,
";"MZ561764.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561763.1;"MZ561763
";"Coxsackievirus A11 isolate SAMPLE_27_MOLECULE_257 polyprotein gene,
";"MZ561763.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561762.1;"MZ561762
";"Coxsackievirus A11 isolate SAMPLE_7_MOLECULE_1118 polyprotein gene,
";"MZ561762.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561761.1;"MZ561761
";"Coxsackievirus A11 isolate SAMPLE_4_MOLECULE_1037 polyprotein gene,
";"MZ561761.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561760.1;"MZ561760
";"Coxsackievirus A11 isolate SAMPLE_27_MOLECULE_18 polyprotein gene,
";"MZ561760.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561759.1;"MZ561759
";"Coxsackievirus A11 isolate SAMPLE_7_MOLECULE_1290 polyprotein gene,
";"MZ561759.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561758.1;"MZ561758
";"Coxsackievirus A11 isolate SAMPLE_27_MOLECULE_506 polyprotein gene,
";"MZ561758.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561757.1;"MZ561757
";"Coxsackievirus A11 isolate SAMPLE_27_MOLECULE_255 polyprotein gene,
";"MZ561757.1
";"1  (bases 1 to 2244)
";"Coxsackievirus A11
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2244
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""2020""";"17-JAN-2023
"
MZ561734.1;"MZ561734
";"Coxsackievirus A24 isolate SAMPLE_22_MOLECULE_3708 polyprotein
";"MZ561734.1
";"1  (bases 1 to 2241)
";"Coxsackievirus A24
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2241
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""Jul-2020""";"17-JAN-2023
"
MZ561733.1;"MZ561733
";"Coxsackievirus A24 isolate SAMPLE_22_MOLECULE_2244 polyprotein
";"MZ561733.1
";"1  (bases 1 to 2241)
";"Coxsackievirus A24
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2241
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""Jul-2020""";"17-JAN-2023
"
MZ561732.1;"MZ561732
";"Coxsackievirus A24 isolate SAMPLE_22_MOLECULE_4140 polyprotein
";"MZ561732.1
";"1  (bases 1 to 2241)
";"Coxsackievirus A24
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2241
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""Jul-2020""";"17-JAN-2023
"
MZ561731.1;"MZ561731
";"Coxsackievirus A24 isolate SAMPLE_22_MOLECULE_1444 polyprotein
";"MZ561731.1
";"1  (bases 1 to 2241)
";"Coxsackievirus A24
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2241
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""Jul-2020""";"17-JAN-2023
"
MZ561730.1;"MZ561730
";"Coxsackievirus A24 isolate SAMPLE_22_MOLECULE_3103 polyprotein
";"MZ561730.1
";"1  (bases 1 to 2241)
";"Coxsackievirus A24
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2241
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""Jul-2020""";"17-JAN-2023
"
MZ561729.1;"MZ561729
";"Coxsackievirus A24 isolate SAMPLE_22_MOLECULE_2869 polyprotein
";"MZ561729.1
";"1  (bases 1 to 2241)
";"Coxsackievirus A24
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2241
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""Jul-2020""";"17-JAN-2023
"
MZ561728.1;"MZ561728
";"Coxsackievirus A24 isolate SAMPLE_22_MOLECULE_3749 polyprotein
";"MZ561728.1
";"1  (bases 1 to 2241)
";"Coxsackievirus A24
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2241
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""Jul-2020""";"17-JAN-2023
"
MZ561727.1;"MZ561727
";"Coxsackievirus A24 isolate SAMPLE_22_MOLECULE_2934 polyprotein
";"MZ561727.1
";"1  (bases 1 to 2241)
";"Coxsackievirus A24
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2241
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""Jul-2020""";"17-JAN-2023
"
MZ561726.1;"MZ561726
";"Coxsackievirus A24 isolate SAMPLE_22_MOLECULE_3593 polyprotein
";"MZ561726.1
";"1  (bases 1 to 2241)
";"Coxsackievirus A24
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2241
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""Jul-2020""";"17-JAN-2023
"
MZ561725.1;"MZ561725
";"Coxsackievirus A24 isolate SAMPLE_22_MOLECULE_1006 polyprotein
";"MZ561725.1
";"1  (bases 1 to 2241)
";"Coxsackievirus A24
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2241
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""Jul-2020""";"17-JAN-2023
"
MZ561724.1;"MZ561724
";"Coxsackievirus A24 isolate SAMPLE_22_MOLECULE_1443 polyprotein
";"MZ561724.1
";"1  (bases 1 to 2241)
";"Coxsackievirus A24
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2241
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""Jul-2020""";"17-JAN-2023
"
MZ561723.1;"MZ561723
";"Coxsackievirus A24 isolate SAMPLE_22_MOLECULE_3089 polyprotein
";"MZ561723.1
";"1  (bases 1 to 2241)
";"Coxsackievirus A24
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2241
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""Jul-2020""";"17-JAN-2023
"
MZ561722.1;"MZ561722
";"Coxsackievirus A24 isolate SAMPLE_22_MOLECULE_4634 polyprotein
";"MZ561722.1
";"1  (bases 1 to 2241)
";"Coxsackievirus A24
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2241
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""Jul-2020""";"17-JAN-2023
"
MZ561721.1;"MZ561721
";"Coxsackievirus A24 isolate SAMPLE_22_MOLECULE_4657 polyprotein
";"MZ561721.1
";"1  (bases 1 to 2241)
";"Coxsackievirus A24
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2241
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""Jul-2020""";"17-JAN-2023
"
MZ561720.1;"MZ561720
";"Coxsackievirus A24 isolate SAMPLE_22_MOLECULE_1603 polyprotein
";"MZ561720.1
";"1  (bases 1 to 2241)
";"Coxsackievirus A24
";"Faleye,T.O.C., Bowes,D.A., Driver,E.M., Adhikari,S., Adams,D.,
";"Wastewater-Based Epidemiology and Long-Read Sequencing to Identify
";"LoopGenomics v. 2021
";"Illumina
";"         1..2241
";"""genomic RNA""";NA;"""Homo sapiens""";"""USA: Arizona, Maricopa County""";"""Jul-2020""";"17-JAN-2023
"
