Recombination Event Number; Number In .RDP File; Begin; End;Begin; End;Begin; End; Recombinant Sequence(s); Minor Parental Sequence(s); Major Parental Sequence(s); RDP; GENECONV; Bootscan; Maxchi; Chimaera; SiSscan;PhylPro; LARD; 3Seq
87;99;1;2660;1;2658;1;2657;MK791150_China_2018;KT353723_Taiwan_2008;PP621658_Thailand_2019; 1.36134127060737E-50; 2.96332412354314E-44; 4.25064523406791E-42; 7.36311534886988E-32; 3.81186614559963E-28; 5.05729410537617E-56;NS;NS; 8.01376212703981E-40
88;100;162;2376;162;2376;162;2373;^PP621219_Thailand_2019;PP621664_Thailand_2019;Unknown (MW183137_China_2007); 6.47183821172683E-52; 6.75723179665641E-46; 1.5016640938266E-38; 2.93323844624286E-28; 1.42579283638269E-24; 5.3565680982386E-46;NS;NS; 4.19323456291788E-15
89;101; 2827*;3464; 2827*;3464; 2824*;3461;MG212461_Russia_Poliovirus-3;KJ170677_Nigeria_Poliovirus-3;MZ245455_USA_Poliovirus-2; 2.89599094423691E-51; 2.10935657868366E-46; 2.07042862649798E-49; 1.54141474854956E-23; 1.89178908188881E-21; 5.60650767694823E-27;NS;NS; 3.15905933535947E-65
90;102;3664;6290;3661;6287;3661;6273;^MZ389229_Spain_2015;OQ969171_France_2023;OP207968_USA_2017; 4.09296631633024E-49;NS; 1.90718291457855E-48; 4.82223539149137E-27; 8.04743400352977E-24; 4.91927550947923E-18;NS;NS; 5.23329845297734E-52
91;103; 6300*;3232; 6300*;3232; 6283*;3229;FJ859064_China_Poliovirus-1;MZ245455_USA_Poliovirus-2;KJ170531_Nigeria_Poliovirus-1; 1.12251247536949E-48; 1.41378471168098E-47; 1.00682438669828E-48; 5.2175213428664E-25; 7.37101341467061E-25; 2.34367351953475E-28;NS;NS; 4.97296872684813E-81
92;104;6265;2770;6265;2770;6250;2767;^OQ791573_USA_2018;MF678341_Australia_2008;Unknown (MK069966_Brazil_2015); 1.74970615275828E-49; 3.11506765053792E-57; 6.15212533670252E-50; 1.11955101809378E-36; 1.24550062333083E-28; 3.26691847957322E-61;NS;NS; 1.8137219938913E-34
93;105;3684;6056;3684;6056;3681;6043;^MF083153_China_2013;JX976771_China_2011;Unknown (OP207959_USA_2015); 9.09684236027053E-75; 2.02426177563036E-80; 4.01120216542712E-65; 2.341701806447E-37; 2.60005122561643E-39; 9.76701987693682E-50;NS;NS; 7.42896985485253E-104
94;106;3814;6300;3811;6297;3811;6283;^OP207959_USA_2015;Unknown (KP289441_China_2013);JX976771_China_2011; 7.95404911724191E-74; 2.48414981698128E-61; 6.53500476444635E-70; 1.62057194363259E-34; 1.66703556533482E-38; 1.59871972060967E-40;NS;NS; 3.79343563824472E-106
95;107;1128;1520;1128;1520;1128;1520;JF738001_Thailand_2009;JF738000_Thailand_2009;MN053435_Malaysia_2006; 6.78030927118399E-50; 1.87595983166265E-51; 1.38250839676585E-53; 2.80545627129814E-10; 2.71428135825163E-10; 1.08256118365499E-13;NS;NS; 5.65285038425691E-19
96;108;3930;34;3923;34;3927;34;^KF311743_China_2011;KP289441_China_2013;OQ791558_USA_2015; 7.56891390426325E-51; 8.24773708649348E-46; 4.48691442716066E-59; 5.1660469508496E-27; 4.15276221265205E-28; 1.53201712149098E-36;NS;NS; 1.74242876204085E-40
97;109; 6274*;3844; 6273*;3843; 6259*;3841;KR259355_India_Poliovirus-1;KJ170670_Nigeria_Poliovirus-3;KJ170531_Nigeria_Poliovirus-1; 1.77531244984048E-45; 2.65964378164234E-43; 9.9998801296008E-36; 1.90942442270087E-14; 4.05803225452351E-14; 6.1885487592105E-19;NS;NS; 3.14758877425039E-58
98;110; 2483*;3164; 2483*;3164; 2480*;3161;^HQ738302_Madagascar_Enterovirus-C;KT946715_China_Poliovirus-3;FM955278_Madagascar_Coxsackievirus-A17; 2.18083651372842E-45; 3.22866041206668E-49; 1.74434420647511E-39; 1.19922221545786E-21; 3.12912950110914E-22; 1.69600435423936E-28;NS;NS; 2.90584882733103E-47
99;111;6284;2649;6277;2642;6267;2646;OQ791558_USA_2015;MW481634_China_2019;OQ791514_USA_2009; 2.25110030013065E-45; 2.64017336667814E-29; 1.81334300687418E-37; 1.07662377807045E-31; 5.28816797308587E-29; 2.73327149554198E-52;NS;NS; 3.52633558386137E-56
100;112;5011;6300;4997;6286;4998;6283;^KX171334_China_2011;MW365443_China_2019;KX171336_China_2011; 1.45502436344589E-68;NS; 1.56675022531411E-64; 2.49435994770971E-22; 2.45882624246072E-19; 1.64063713691845E-16;NS;NS; 1.33727177696786E-68
101;113;3875;6042;3875;6042;3872;6029;OQ286220_United-Kingdom_Poliovirus-3;KJ170530_Nigeria_Poliovirus-1;KJ170670_Nigeria_Poliovirus-3; 2.64958542943125E-44; 3.11634257532655E-40;NS; 3.27791250013712E-31; 6.77456498133578E-32; 1.2815718930679E-34;NS;NS; 1.3447941064198E-96
102;114;1;2370;1;2370;1;2367;^HM031191_China_2008;MF678297_Australia_2008;KF990476_China_2012; 1.70742885550515E-47; 6.84499285334613E-33; 1.37048539700513E-38; 1.81253420347863E-29; 6.31592804686843E-33; 2.55547863010959E-50;NS;NS; 3.3738573163797E-72
103;115;6297;2477;6297;2477;6280;2474;^MH752989_USA_2016;OQ969171_France_2023;Unknown (JX476166_India_2010); 2.955365191459E-42; 4.90418274210871E-21; 5.17185289106489E-30; 3.24786054866834E-27; 1.19314972430267E-20; 4.45094751232454E-45;NS;NS; 2.33567811575196E-19
104;116;6299;2360;6299;2360;6282;2357;^KP233830_Kuwait_2009;MF678341_Australia_2008;MN580136_China_1999; 3.83035929866895E-42; 1.5993046670098E-17; 1.37832582771173E-38; 1.1223024888159E-28; 2.05709937624096E-26; 5.69217614396714E-48;NS;NS; 1.15670446015394E-32
105;117;6300;2895;6293;2888;6283;2892;MF678301_Australia_2008;MN815811_China_2018;OQ791514_USA_2009; 5.90625353992674E-44; 6.23539361945636E-38; 5.15502693945356E-35; 2.28636048347689E-32; 8.22602654390396E-28; 6.2402907057535E-57;NS;NS; 4.40451840025617E-42
106;118;3860;6297;3843;6280;3857;6280;^KU379646_China_2013;Unknown (KP289441_China_2013);JX976771_China_2011; 8.63556153941627E-42; 3.6651579075665E-27; 6.08723639393522E-46; 2.02105478259307E-24; 3.82656445068836E-19; 1.00642241157225E-36;NS;NS; 4.07726186146817E-09
107;120;4423;6251;4423;6251;4420;6238;JX274982_Nigeria_Poliovirus-2;GU390707_USA_Poliovirus-2;Unknown (KJ170573_Nigeria_Poliovirus-2); 5.90021988803251E-45; 2.06916667234055E-45; 9.70647182205401E-48; 6.12878981691759E-31; 1.08758234892507E-16; 8.90513195240101E-58;NS;NS; 8.8185400305339E-57
108;121;102;2375;102;2368;102;2372;^MN181514_Nigeria_2014;MN181513_Nigeria_2010;Unknown (MF678297_Australia_2008); 7.50330922239165E-40; 3.7971844481806E-28; 1.20290324745504E-32; 5.91705241746948E-26; 2.00008817746858E-25; 7.7228258218201E-46;NS;NS; 2.4557500639831E-21
109;122;6297;3394;6297;3394;6280;3391;^KP266576_China_2010;MF574099_China_2010;Unknown (GU550508_China_1999); 4.08620873480009E-40; 5.73251927276314E-44; 1.15155450454686E-34; 8.88531424910488E-30; 1.06311184153777E-20; 2.10498712383353E-76;NS;NS;NS
110;123;6292;2784;6287;2779;6275;2781;^KX810066_USA_2013;Unknown (OQ842451_USA_2013);MN590273_France_2019; 6.13968975364991E-41; 4.80924162891826E-41; 1.72568151742351E-24; 5.08804975896903E-29; 3.47746937387931E-20; 3.63377642842594E-64;NS;NS; 3.63858080810582E-12
111;124;6300;2694;6294;2688;6283;2691;^PP621608_Nepal_2023;KR107055_India_2009;MH144607_India_2012; 9.80633639839583E-40; 5.23842255109514E-46; 5.32670732513028E-33; 1.03057085959584E-29; 1.42023017399934E-24; 1.24010369011116E-63;NS;NS; 2.24258504399082E-11
112;125;4585;6299;4577;6291;4578;6282;^JN596588_China_2009;JX843811_China_2009;Unknown (OP441393_China_2018); 1.99816477160862E-42;NS; 2.38270371532064E-39; 4.29935136733915E-19; 5.76055386000026E-21; 7.74793520281618E-71;NS;NS; 4.43034950438503E-43
113;126; 5625*;5940; 5625*;5940; 5612*;5927;MG212477_Russia_Poliovirus-3;JX275085_Nigeria_Poliovirus-2;MG212466_Russia_Poliovirus-3; 8.27085695110257E-38; 3.59542563632626E-46; 2.12600299834589E-37; 1.25460255504954E-08; 1.24203858096463E-08; 9.44300396058928E-12;NS;NS; 3.75431331366663E-28
114;128;6302;2384;6300;2382;6285;2381;^AB647326_Japan_2010;MG451804_United-Kingdom_2016;Unknown (PP621642_Thailand_2019); 4.01421151521044E-42; 2.09547814544692E-27; 4.3948626827427E-27; 1.14626981783233E-27; 1.24607796634187E-31; 4.4918533180661E-39;NS;NS; 8.28665751527857E-64
115;129;5982;6244;5966;6228;5969;6231;MH144606_India_Enterovirus-C99;MH144607_India_2012;OQ791547_USA_Enterovirus-C99; 4.02168522566417E-37; 3.53602725908156E-38;NS; 9.53146311398867E-08; 6.89967784169115E-10; 1.02853299829062E-12;NS;NS; 3.4417711868777E-14
116;134;4642;6300;4636;6294;4630;6283;^KR107057_India_2010;MW183139_China_2007;OQ842442_USA_2011; 1.43388647208485E-35; 2.52318608348604E-21; 5.90531725598341E-38; 2.33701131925659E-19; 5.21886728408035E-22; 7.90669539227865E-28;NS;NS; 5.4106704630839E-35
117;135;26;2356;26;2356;26;2353;^MH745407_Nigeria_2014;KY792585_India_1996;Unknown (KC292019_China_2000); 1.4829827196443E-35; 1.29137410908938E-07; 5.10961560486938E-27; 7.98419043899895E-24; 1.04792052234927E-23; 3.61567954412796E-42;NS;NS; 7.11791454851418E-24
118;136;48;2514;48;2514;48;2511;^MF678297_Australia_2008;OQ791514_USA_2009;MN166093_USA_2015; 3.57165596322118E-37; 5.74893922467012E-07; 1.63027395881212E-28; 3.15528376631247E-25; 3.88140402653153E-22; 3.68361352705994E-38;NS;NS; 1.478718737119E-32
119;137;4929;5646;4929;5646;4916;5633;LC627090_Viet-Nam_2016;Unknown (ON502276_China_2016);ON502355_China_2016; 1.68495223866122E-35; 9.34141474410417E-32; 2.38878568356424E-35; 4.12127924140863E-20; 5.45047599044148E-16; 5.16595721675803E-95;NS;NS; 4.8526364035188E-36
120;138;4636; 5311*;4636; 5311*;4624; 5298*;OP137281_Israel_Poliovirus-3;MZ150563_China_Poliovirus-2;KJ170677_Nigeria_Poliovirus-3; 2.65369203205526E-34; 9.96106497136238E-28; 1.04741266273178E-31; 4.7236197898904E-14; 3.06889143862672E-13; 7.81447481128337E-13;NS;NS; 5.71963148642697E-42
121;139;5485;6172;5485;6172;5472;6159;OP137281_Israel_Poliovirus-3;MZ245455_USA_Poliovirus-2;PP533222_Tunisia_Poliovirus-3; 2.02555921768029E-39; 2.49398985038664E-36; 5.96444645366963E-37; 1.74999796067523E-12; 2.490649883846E-12; 3.02821637470908E-14;NS;NS; 1.67956934307422E-38
122;140;240;2392;240;2392;240;2389;^PP621607_Nepal_2023;MG451805_United-Kingdom_2016;PP461531_Nepal_2023; 1.266970480679E-33; 1.95146611398235E-26; 3.33402725484453E-20; 1.59136329765258E-21; 1.5834744502357E-25; 7.96899319780913E-29;NS;NS; 3.87739831457859E-42
123;141;142;2422;142;2422;142;2419;MT347976_USA_2016;MF678348_Australia_2010;MG451805_United-Kingdom_2016; 1.62328866086813E-36; 1.03176341493135E-14; 1.01064008158596E-28; 1.42262414571778E-24; 1.03594003416216E-26; 9.69164693501209E-40;NS;NS; 3.45755810126861E-46
124;142;1;2532;1;2529;1;2529;^PP621220_Thailand_2019;OP207968_USA_2017;KR107055_India_2009; 3.55197624539416E-32; 7.78075283254425E-18; 3.99356709009729E-23; 1.30482977985283E-22; 2.57559755910744E-20; 6.44547565943654E-43;NS;NS; 2.90541261381116E-11
125;143;3440; 3785*;3440; 3785*;3437; 3782*;^JX017382_China_2011;JX976771_China_2011;MF574099_China_2010; 9.88254255593169E-32; 3.61726086715203E-22; 4.61437219286927E-32; 1.06746294201841E-07; 4.16988464757117E-08; 3.75102473505055E-09;NS;NS; 1.13911461210003E-22
126;144;15;2404;15;2404;15;2401;^MF678331_Australia_2008;MF678342_Australia_2008;Unknown (KJ755190_China_1999); 1.17244192553634E-31; 5.43335915659249E-05; 2.78117653856974E-25; 8.54637279440692E-23; 4.52741250721656E-22; 1.08558203009906E-43;NS;NS; 4.16891369539542E-18
127;146;6299;2762;6299;2762;6282;2759;^MF678343_Australia_2010;PP621642_Thailand_2019;Unknown (OQ791570_USA_2016); 1.23098297800896E-34; 2.05419552833488E-12; 6.03396038235773E-28; 1.30559274580779E-27; 1.067805154829E-23; 6.5313458167972E-45;NS;NS; 5.04510420003779E-52
128;147;6300;3078;6300;3078;6283;3075;^OQ791563_USA_2015;OQ791537_USA_2010;Unknown (OL614976_Brazil_2016); 4.71042157501346E-33; 9.63576923595867E-33; 2.76215537027993E-30; 5.85179171413744E-30; 2.66847188601878E-20; 2.47870001955376E-57;NS;NS; 5.92840812185491E-09
129;148;5010;46;5005;46;4997;46;^OQ791567_USA_2015;OQ791514_USA_2009;Unknown (OQ842428_USA_2017); 1.3057581043764E-30;NS; 5.32059633241658E-31; 4.49270824963557E-22; 3.22318963275097E-22; 4.15010361433123E-19;NS;NS; 2.78578841568513E-31
130;149;4092;5576;4092;5576;4089;5563;^ON502276_China_2016;MG756693_Taiwan_2015;Unknown (KP308450_Cambodia_2012); 8.30198248735328E-36; 2.40962194804451E-39; 4.76865635665106E-33; 1.70272861394071E-23; 3.53979601452094E-18; 7.98774321655415E-37;NS;NS; 3.97939965901539E-06
131;150;4616;32;4615;32;4604;32;^OQ842428_USA_2017;PP621642_Thailand_2019;MF678348_Australia_2010; 2.22860447757236E-31; 1.31287831939275E-06; 8.51966240403571E-31; 5.20554651101303E-22; 5.67244874539702E-25; 1.21318661221074E-16;NS;NS; 3.8009957793306E-35
132;151;4568;8;4565;8;4565;8;^KT006374_Russia_1975;Unknown (PP621632_Thailand_2019);KF878966_Australia_2011; 1.13950085870131E-35; 2.79894131352298E-19; 4.77636707956124E-32; 1.44332369925816E-18; 1.47880736935692E-22; 1.99017061626709E-26;NS;NS; 1.6657270194899E-31
133;152;5926;14;5926;14;5913;14;^OP572092_USA_2022;MK105986_France_2018;OP321153_USA_2022; 7.25350893378239E-30; 2.62448518401744E-24; 1.1026272054202E-27; 6.03171989250564E-06; 1.06699956640924E-05; 1.3933112461608E-07;NS;NS; 2.74369782286186E-21
134;153;312;2585;312;2582;312;2582;^MK512666_China_Enterovirus-C96;KF495604_China_Enterovirus-C96;PP756353_France_Coxsackievirus-A22; 4.6931468958133E-30; 1.34791523184638E-11;NS; 3.35174869984711E-20; 5.59044849687862E-23; 4.63257323106628E-29;NS;NS; 2.68878337501124E-39
135;154;6302;2434;6300;2432;6285;2431;^PP621598_Nepal_2023;Unknown (MN181513_Nigeria_2010);PP461533_Nepal_2023; 3.06216282412365E-34; 2.96024422272637E-11; 4.95996979786423E-20; 4.19960965009748E-24; 5.54784640867811E-27; 7.78319378528101E-41;NS;NS; 6.35905183178415E-44
136;155;140;2367;140;2364;140;2364;^OQ842413_USA_2009;PP887984_Hungary_2023;Unknown (PP621655_Thailand_2019); 5.75959368292441E-33; 2.00039759449173E-26; 1.00332631721243E-19; 1.92116369973832E-21; 1.56159558592012E-25; 2.52834517546862E-32;NS;NS; 2.08893162142548E-42
137;156;6292;2798;6291;2797;6275;2795;^OQ842451_USA_2013;MN590273_France_2019;PP887984_Hungary_2023; 3.02927161972072E-35; 2.63710536603187E-35; 3.26605653870048E-26; 1.36702250382364E-26; 2.63043046914438E-19; 5.32436286598686E-55;NS;NS; 2.03863093073409E-08
138;160;165;2430;165;2430;165;2427;^OL614976_Brazil_2016;MZ394039_China_2016;Unknown (OQ077987_Uganda_2012); 2.28905511018259E-28; 1.88579432284035E-16; 8.27922464531045E-24; 8.39531609652645E-22; 7.68924349951969E-19; 3.20945617509913E-45;NS;NS; 9.97701000426954E-06
139;161;2668;4137;2666;4135;2665;4134;^PP621655_Thailand_2019;PP887984_Hungary_2023;Unknown (JQ801739_China_2009); 1.74451849212533E-27; 1.34839248131249E-20; 1.54617355174374E-24; 7.09338957120186E-22; 1.60150246671672E-21; 1.21563578362312E-27;NS;NS; 1.45843590221558E-29
140;162;3292;3640;3287;3635;3289;3637;^MN166093_USA_2015;Unknown (PP621613_Thailand_2019);OQ791567_USA_2015; 7.28881371210264E-27; 2.5155379753623E-12; 5.20334711935255E-23; 3.60429710183861E-08; 7.17212013218256E-07; 2.31042968847838E-25;NS;NS;NS
141;163;4928;5732;4928;5732;4915;5719;^ON502337_China_2017;ON502283_China_2017;ON502207_China_2017; 8.2396205309843E-27; 8.22352972323619E-20; 6.01818091344186E-27; 4.63338965310049E-10; 2.05032918403558E-08; 6.70663734532998E-08;NS;NS; 2.85510585852169E-30
142;165;186;2464;186;2458;186;2461;OQ791539_USA_2011;MH752986_USA_2004;OQ077987_Uganda_2012; 4.50064225393206E-29; 1.79721622529358E-07; 2.15958291344264E-20; 7.63420701808778E-22; 3.54316877651439E-22; 2.04546183591156E-39;NS;NS; 4.53001396052515E-21
143;166;40;2359;40;2353;40;2356;^MF678320_Australia_2008;MH752986_USA_2004;Unknown (PP621601_Nepal_2023); 6.60568925816952E-30;NS; 1.24639120008478E-18; 1.28173346905771E-18; 1.07574873461954E-18; 1.00613798855984E-33;NS;NS; 5.12449477262246E-14
144;167;4634;6299;4634;6299;4622;6282;^OP207965_USA_2016;Unknown (JX843811_China_2009);JX017381_China_2011; 1.37853611437016E-31; 1.34623213886341E-30; 4.79082639657102E-27; 3.07241402063705E-18; 7.4231645031828E-20; 3.09373483303033E-28;NS;NS; 7.40750325571451E-40
145;168;5277;6297;5263;6283;5264;6280;^MK069966_Brazil_2015;MF678341_Australia_2008;Unknown (OQ791537_USA_2010); 2.40550048224348E-25;NS; 6.85871828811343E-24; 4.66710961791623E-27; 2.26983241860503E-21; 8.5837602506595E-07;NS;NS; 2.12027804462997E-34
146;169;394;2392;394;2392;394;2389;^JQ801739_China_2009;PP887984_Hungary_2023;Unknown (MZ540960_China_2018); 3.2377969367877E-25; 9.23703211679236E-15; 3.76567854388685E-10; 9.31283162126047E-15; 8.3594532126093E-16; 5.5093881437072E-21;NS;NS; 6.80457793810688E-10
147;170;132;2386;132;2386;132;2383;^PP461528_Nepal_2023;MK689070_Brazil_2014;PP461533_Nepal_2023; 3.6747845332633E-31; 4.10661814687074E-05; 6.08524931082841E-21; 8.60957431381078E-20; 6.74567197428114E-21; 1.45721663484263E-35;NS;NS; 2.8846572467025E-19
148;171;114;2418;114;2418;114;2415;^KY888275_Hungary_1999;MH152412_Italy_1998;KX171336_China_2011; 7.7965482939517E-25;NS; 2.31414799955998E-22; 1.74266458989176E-22; 1.27929321019226E-21; 9.17793699609938E-47;NS;NS; 6.17908803439018E-16
149;172;165;2375;165;2368;165;2372;^PP461533_Nepal_2023;MN181513_Nigeria_2010;PP461523_Nepal_2023; 4.36596271956101E-29; 1.84718909067723E-10; 1.71665125088748E-13; 9.27457089367514E-20; 1.90251218953025E-23; 1.05626550687026E-37;NS;NS; 2.90639622878125E-28
150;173;76;2428;76;2414;76;2425;KF990476_China_2012;KX171336_China_2011;JX843811_China_2009; 1.61427603349311E-25;NS; 2.24633980112096E-18; 1.1207928823261E-20; 7.9794497047563E-24; 2.14970783326709E-33;NS;NS; 1.0414335751167E-37
151;174;5176;6288;5176;6288;5163;6271;MH716380_Viet-Nam_2014;Unknown (MN053435_Malaysia_2006);MH716374_Viet-Nam_2014; 1.46333369044731E-24; 1.19790884140115E-20; 4.38773974049495E-21; 3.0712465411103E-17; 8.53967973527411E-19; 1.3441620076804E-22;NS;NS; 4.66840400623875E-43
152;175;4051; 4616*;4051; 4616*;4048; 4604*;^MW183139_China_2007;Unknown (KR107057_India_2010);MW183137_China_2007; 2.11598575697621E-30;NS; 2.3812680844875E-27; 1.87220301928295E-15; 1.31423964648871E-09; 7.77566952151299E-04;NS;NS; 1.39034532820048E-06
153;176;3263;3485;3263;3485;3260;3482;FJ517649_Russia_Poliovirus-2;KJ170677_Nigeria_Poliovirus-3;OR253701_USA_Poliovirus-1; 1.47706908916256E-25; 6.30720684308113E-24; 8.90712748812738E-22; 2.21985184314043E-07; 2.15207010747202E-07; 4.89435812364071E-10;NS;NS; 1.17626480876365E-32
154;177;92;2481;92;2481;92;2478;JX275347_Nigeria_Poliovirus-2;ON596437_Nigeria_Poliovirus-2;KY941933_Nigeria_Poliovirus-3; 1.26559103739916E-67; 9.69330653874128E-73;NS; 7.65296381581789E-36; 2.20618175322948E-21; 5.64588971127315E-48;NS;NS; 7.74469175912185E-46
155;178;5758;5928;5742;5912;5745;5915;MH144606_India_Enterovirus-C99;MH144607_India_2012;PP756365_France_Enterovirus-C99; 5.68420244071723E-24; 9.05552714887998E-25; 2.92826693114648E-20; 1.54481272521954E-06; 1.50498262084294E-05;NS;NS;NS;NS
156;179; 2656*;3271; 2656*;3271; 2653*;3268;^OP441391_China_2013;Unknown (JX017381_China_2011);OP672302_China_2014; 4.49739952513335E-29; 1.23448452630956E-18; 2.16920144808241E-26; 1.46691433265104E-11; 3.98787794129788E-12; 2.46774224856721E-66;NS;NS; 3.29230850182126E-23
157;180; 4683*;6291; 4682*;6290; 4671*;6274;^MZ540960_China_2018;KX641240_China_2013;MG720260_China_2015; 2.87578363989855E-24; 2.20588178452105E-20; 6.64292750215338E-19; 6.43166702821073E-14; 2.33028350215579E-14; 1.13572480202633E-25;NS;NS; 1.58390736802301E-24
158;181;46;2358;46;2358;46;2355;^PP621642_Thailand_2019;MF678342_Australia_2008;OQ791570_USA_2016; 3.61903281119442E-22;NS; 9.23575611084617E-13; 7.26135569995636E-19; 3.42630136869156E-19; 1.60403478962522E-33;NS;NS; 4.532188365395E-22
159;182;86;2402;86;2402;86;2399;^LC506515_Japan_2007;Unknown (KY315729_China_2015);KF501389_China_2010; 2.60560127624704E-23; 1.34556165047428E-03; 5.97980082440037E-14; 1.1017413E-192; 1.44843501161033E-19; 5.51047057966086E-94;NS;NS; 8.12560109447812E-29
160;183;44;2416;44;2413;44;2413;^MH484165_Brazil_Enterovirus-C96;HQ415758_China_Enterovirus-C96;Unknown (OP137286_Israel_Poliovirus-3); 2.89346611525819E-25; 5.11497472409715E-13;NS; 8.48776712571286E-17; 4.17732341097761E-20; 1.10427319021876E-28;NS;NS; 2.59193160469307E-28
161;184;3554;4723;3554;4722;3551;4710;^KF982854_China_2012;JQ742001_China_2001;HQ424436_Greece_2010; 2.98435498240502E-24; 8.02360326324303E-19; 1.61412905320579E-21; 2.68957917094027E-16; 6.80713673022793E-18; 7.24429662396756E-37;NS;NS; 7.5909557591977E-25
162;185;3584;6285;3582;6280;3581;6268;MH716381_Viet-Nam_2013;KJ686176_Viet-Nam_2012;KJ686222_Viet-Nam_2012; 2.16543509668194E-22; 1.36487061044583E-19; 2.17277555463678E-22; 7.44997885296147E-17; 8.26570113099585E-18; 7.52613934684466E-19;NS;NS; 4.07502873309728E-43
163;189;184;2369;184;2369;184;2366;PP621674_Thailand_2019;MH043137_Latvia_2014;KR107055_India_2009; 8.39980262709959E-22;NS; 8.49255853292513E-12; 7.73381377962056E-16; 6.64750338244256E-18; 2.15022225395932E-27;NS;NS; 8.6746049148356E-14
164;190;212;697;212;697;212;697;MH341711_China_2016;MK105986_France_2018;MT791932_France_2016; 2.66500033542935E-21; 2.5497149277189E-15; 1.41428208348817E-16; 3.17326348355591E-06; 4.22235650264615E-06; 1.59402639903276E-04;NS;NS; 6.93134492024683E-08
165;191;145;2412;145;2412;145;2409;MW365443_China_2019;MH144600_India_2013;KJ755190_China_1999; 1.89159965301399E-22; 1.96744150820929E-09; 1.64168941849632E-11; 7.7573938137663E-18; 5.06327527404828E-14; 3.10225552288122E-44;NS;NS; 8.01516786173018E-05
166;192;43;2464;43;2463;43;2461;^MF678342_Australia_2008;MH144600_India_2013;KJ755189_China_1999; 1.16887862093224E-20; 4.09764817077551E-06; 1.46046714212091E-12; 1.31619714655071E-17; 1.18812361202363E-14; 5.19234628089993E-39;NS;NS; 7.09443312207902E-07
167;193;4357;5740;4354;5737;4354;5727;^MG451809_United-Kingdom_2017;MH144604_India_2013;Unknown (JX017381_China_2011); 3.87409449086698E-22; 1.50851198090988E-10; 3.99750022892091E-18; 7.71304459932465E-10; 2.39337294980246E-08; 4.90890912058308E-20;NS;NS;NS
168;195;70;3041;70;3038;70;3038;^OP207962_USA_2015;MH152412_Italy_1998;OQ791514_USA_2009; 1.72609714829609E-25; 1.40283250755771E-07; 2.51213631992284E-17; 7.73576861243128E-21; 2.7865115161586E-22; 7.47501364140921E-37;NS;NS; 7.7336700795026E-37
169;196;16;2542;16;2535;16;2539;^OQ077987_Uganda_2012;Unknown (MG451805_United-Kingdom_2016);MG451806_United-Kingdom_2016; 9.18961027181583E-26; 2.7364606618278E-20; 4.66128472039544E-17; 1.17686542425304E-21; 9.99361377926578E-23; 1.61662102869661E-40;NS;NS; 3.38989961734992E-29
170;198;6297;2713;6297;2713;6280;2710;^MH152412_Italy_1998;PP621689_Nepal_2023;Unknown (PP621691_Nepal_2023); 1.35237585998054E-20; 2.25077086538628E-04; 1.91916928969339E-10; 1.24611855552568E-17; 1.67440294780046E-18; 3.36475096606695E-28;NS;NS; 2.56276342276523E-30
171;199; 6288*;3520; 6287*;3519; 6271*;3517;MF678347_Australia_2007;KP266568_China_2009;MG451804_United-Kingdom_2016; 5.26765685771985E-19; 5.26256822970078E-12; 7.20053486311644E-18; 1.8617022047008E-08; 2.93450373537765E-06; 6.46125199515508E-16;NS;NS; 1.32918648343416E-06
172;200;98;2612;98;2606;98;2609;^MH752986_USA_2004;KX610685_USA_2016;Unknown (MH144600_India_2013); 4.16577155664552E-24; 9.38748963298293E-11; 2.88186109629674E-16; 3.88647704913825E-21; 4.3116617992445E-16; 1.68477899232833E-46;NS;NS; 3.26180948917454E-08
173;201; 6285*;3912; 6285*;3912; 6268*;3909;JX274999_Nigeria_Poliovirus-2;ON596432_Nigeria_Poliovirus-2;Unknown (PP506140_Tunisia_Poliovirus-1); 5.59947545842228E-19; 1.38651369360852E-17; 4.39519134416983E-17; 1.49311143146078E-06; 3.45606909249508E-04; 2.74336411903245E-09;NS;NS; 1.24157147330828E-04
174;203;172;2548;172;2536;172;2545;^OQ842442_USA_2011;JX476166_India_2010;Unknown (PP621670_Thailand_2019); 7.96491591266026E-19; 2.76942211592459E-07; 3.64841556812905E-11; 2.51501090452365E-17; 1.55839679463459E-21; 4.1087378599862E-27;NS;NS; 3.69696877888208E-27
175;204;6045; 92*;6045; 92*;6032; 92*;^HQ738302_Madagascar_Enterovirus-C;KJ170677_Nigeria_Poliovirus-3;FM955278_Madagascar_Coxsackievirus-A17; 3.03952369050764E-18; 1.02264830912804E-08; 1.6448830890967E-18; 2.55117161162681E-12; 2.30286360259522E-10; 3.98276266287118E-03;NS;NS; 9.20673562778652E-13
176;205;2370; 2577*;2363; 2570*;2367; 2574*;PP861087_Hungary_2023;PP621664_Thailand_2019;MF678301_Australia_2008; 2.94261807744605E-19; 1.55973360031953E-15; 1.47250682119828E-14; 1.65850835633789E-04; 5.55330063584836E-04;NS;NS;NS;NS
177;206;4730;5646;4730;5646;4717;5633;ON502310_China_2016;ON502207_China_2017;ON502355_China_2016; 1.29854376050346E-17; 5.3695296221512E-03; 1.92600108906824E-18; 4.53313554025189E-09; 1.55382154901869E-07; 8.65406914355288E-05;NS;NS; 4.30344034271785E-18
