Event#,Sequence,Designation, ConsensusConsensus,Parsimony O,Conflict,SubPhPr,TreeSubDist,OuCheck,TreeSubPhPr,TreePhPr,PhPr,TrpScore,dMax(VisRD),DistRank,O:E,SubDist,Parsimony I,SetDistT,SetDistP,O:E Dist,
 139,PP533222_Tunisia_Poliovirus-3,MajorParent, 5.63575227987712, 0, 10, 0, 5, 10, 0, 0, 0, 4, 5.71722201392225, 2.92112950340798, 0, 0, 10, 0, 0, 15,
 139,MZ245455_USA_Poliovirus-2,MinorParent, 4.16695257219718, 10, 0, 5, 0, 0, 4, 14, 4, 0, 3.35050537073097, 0, 4, 1, 0, 2.5, 5, 0,
 140,PP621607_Nepal_2023,Recombinant, 15.0892023204077, 20, 10, 10, 0, 0, 0, 0, 8, 4, 7.00673301812528, 1.11002921129503, 2, 2, 20, 5, 0, 15,
 140,PP461531_Nepal_2023,MajorParent, 6.45302540610722, 0, 0, 5, 5, 10, 4, 14, 4, 8, 6.24316552847625, 2.1811100292113, 0, 1, 0, 2.5, 0, 0,
 140,MG451805_United-Kingdom_2016,MinorParent, 8.45777227348509, 0, 5, 0, 10, 0, 8, 18, 0, 0, 6.75010145339847, 1.11002921129503, 4, 0, 0, 0, 0, 20,
 141,MT347976_USA_2016,Recombinant, 22.2549362532221, 20, 10, 10, 10, 10, 4, 18, 8, 8, 6.88760297020392, 1.97663096397274, 4, 2, 20, 5, 0, 20,
 141,MG451805_United-Kingdom_2016,MajorParent, 3.82346834801586, 0, 0, 5, 0, 0, 8, 14, 4, 4, 6.30820373236099, .788704965920156, 0, 0, 0, 2.5, 0, 0,
 141,MF678348_Australia_2010,MinorParent, 3.92159539876208, 0, 10, 0, 5, 0, 0, 0, 0, 0, 6.80419329743509, 2.67770204479065, 2, 1, 0, 0, 0, 15,
 142,PP621220_Thailand_2019,Recombinant, 15.0300945519171, 20, 10, 0, 10, 5, 8, 18, 0, 4, 7.03539666734687, 1.16731517509728, 2, 1, 20, 2.5, 0, 15,
 142,KR107055_India_2009,MajorParent, 7.08513730135492, 0, 0, 10, 5, 5, 4, 14, 8, 8, 6.19071874118245, 1.41050583657588, 0, 2, 0, 5, 5, 0,
 142,OP207968_USA_2017,MinorParent, 7.88476814672801, 10, 10, 5, 0, 5, 0, 0, 4, 0, 6.77388459147067, 1.18677042801556, 4, 0, 10, 0, 0, 20,
 143,JX017382_China_2011,Recombinant, 14.3243931672625, 20, 10, 10, 5, 0, 0, 0, 4, 8, 7.23039406408334, 0, 2, 2, 20, 5, 0, 20,
 143,MF574099_China_2010,MajorParent, 3.75620419694648, 0, 0, 0, 0, 0, 4, 14, 0, 4, 6.74737050053358, 0, 0, 0, 0, 2.5, 0, 0,
 143,JX976771_China_2011,MinorParent, 11.919402635791, 10, 10, 5, 10, 10, 8, 18, 8, 0, 6.02223543538308, 0, 4, 1, 10, 0, 0, 15,
 144,MF678331_Australia_2008,Recombinant, 15.2089233771849, 20, 10, 10, 10, 0, 4, 14, 8, 0, 6.90539284129076, 0, 4, 0, 20, 0, 0, 20,
 144,KJ755190_China_1999,MajorParent, 4.491754340711, 0, 0, 0, 0, 10, 0, 0, 0, 8, 6.33993228166849, .992217898832685, 0, 2, 0, 5, 5, 15,
 144,MF678342_Australia_2008,MinorParent, 10.2993222821041, 20, 5, 5, 5, 0, 8, 18, 4, 4, 6.75467487704075, 1.80933852140078, 2, 1, 20, 2.5, 0, 0,
 146,MF678343_Australia_2010,Recombinant, 12.0726962482381, 10, 5, 10, 10, 0, 8, 18, 8, 0, 6.54998296099004, 1.62293488824101, 4, 0, 10, 0, 0, 15,
 146,OQ791570_USA_2016,MajorParent, 6.05712514220961, 0, 0, 0, 5, 10, 0, 0, 0, 4, 6.4893410504625, 2.04081632653061, 0, 2, 0, 5, 5, 20,
 146,PP621642_Thailand_2019,MinorParent, 11.8701786095523, 20, 10, 5, 0, 0, 4, 14, 4, 8, 6.96067598854746, 1.7687074829932, 2, 1, 20, 2.5, 0, 0,
 147,OQ791563_USA_2015,Recombinant, 12.1399564114741, 20, 10, 5, 10, 5, 4, 14, 4, 0, 7.02785749192601, 1.36054421768707, 0, 1, 20, 2.5, 0, 20,
 147,OL614976_Brazil_2016,MajorParent, 8.60090623762568, 0, 0, 10, 0, 5, 8, 18, 8, 8, 5.89322642741365, .748299319727891, 4, 2, 0, 5, 5, 0,
 147,OQ791537_USA_2010,MinorParent, 9.25913735090018, 20, 10, 0, 5, 5, 0, 0, 0, 4, 7.07891608066033, 1.27308066083576, 0, 0, 20, 0, 0, 15,
 148,OQ791567_USA_2015,Recombinant, 10.9121735607842, 20, 10, 5, 0, 0, 0, 0, 4, 0, 7.93986604849594, 0, 2, 0, 20, 0, 0, 15,
 148,OQ842428_USA_2017,MajorParent, 10.150281670325, 0, 0, 10, 10, 0, 8, 18, 8, 4, 6.33364534207798, 0, 0, 2, 0, 5, 5, 0,
 148,OQ791514_USA_2009,MinorParent, 8.93754476889076, 0, 10, 0, 5, 10, 4, 14, 0, 8, 5.72648860942609, 0, 4, 1, 0, 2.5, 0, 20,
 149,ON502276_China_2016,Recombinant, 14.1679268315747, 20, 10, 5, 5, 5, 4, 14, 4, 0, 9.02709961767442, .533980582524272, 4, 1, 20, 2.5, 0, 20,
 149,KP308450_Cambodia_2012,MajorParent, 13.7526145338694, 10, 5, 10, 10, 5, 8, 18, 8, 8, 5.17324236339777, .650485436893204, 0, 2, 10, 5, 5, 15,
 149,MG756693_Taiwan_2015,MinorParent, 2.07945863455591, 0, 0, 0, 0, 5, 0, 0, 0, 4, 5.79965801892782, .844660194174757, 2, 0, 0, 0, 0, 0,
 150,OQ842428_USA_2017,Recombinant, 14.7734874845629, 0, 10, 10, 0, 10, 8, 18, 8, 8, 6.98865005421961, 0, 4, 2, 0, 2.5, 5, 15,
 150,MF678348_Australia_2010,MajorParent, 5.30806965133137, 0, 0, 0, 10, 0, 4, 14, 0, 4, 5.99222868579152, .106796116504854, 0, 0, 0, 0, 0, 20,
 150,PP621642_Thailand_2019,MinorParent, 9.91844286410573, 20, 10, 5, 5, 0, 0, 0, 4, 0, 7.01912125998887, 0, 2, 1, 20, 5, 5, 0,
 151,KT006374_Russia_1975,Recombinant, 14.7344763776603, 0, 0, 10, 10, 10, 8, 18, 8, 8, 8.55493523325183, 0, 4, 0, 0, 0, 0, 20,
 151,KF878966_Australia_2011,MajorParent, 7.5766762059612, 20, 10, 5, 0, 0, 0, 0, 0, 4, 5.90326349050618, 0, 0, 2, 20, 5, 5, 0,
 151,PP621632_Thailand_2019,MinorParent, 7.68884741637852, 10, 5, 0, 5, 0, 4, 14, 4, 0, 5.54180127624199, 0, 2, 1, 10, 2.5, 5, 15,
 152,OP572092_USA_2022,Recombinant, 20.3164044273759, 20, 10, 10, 10, 10, 8, 18, 8, 8, 6.91397676980408, 0, 4, 2, 20, 5, 5, 20,
 152,OP321153_USA_2022,MajorParent, 2.02807249948515, 0, 0, 0, 0, 0, 4, 14, 0, 4, 5.95102045250695, 0, 0, 0, 0, 0, 0, 0,
 152,MK105986_France_2018,MinorParent, 7.65552307313894, 10, 5, 5, 5, 0, 0, 0, 4, 0, 7.13500277768896, 0, 2, 1, 10, 2.5, 5, 15,
 153,MK512666_China_Enterovirus-C96,Recombinant, 14.5033836678426, 20, 10, 10, 0, 10, 4, 14, 8, 4, 6.75900586181765, .242483026188167, 4, 0, 20, 0, 0, 0,
 153,PP756353_France_Coxsackievirus-A22,MajorParent, 4.52604221181753, 0, 0, 0, 5, 0, 0, 0, 0, 8, 6.48672422876613, 1.82347235693501, 0, 1, 0, 5, 5, 20,
 153,KF495604_China_Enterovirus-C96,MinorParent, 10.9705741203399, 10, 5, 5, 10, 0, 8, 18, 4, 0, 6.75426990941622, 1.24151309408341, 4, 2, 20, 2.5, 0, 15,
 154,PP621598_Nepal_2023,Recombinant, 13.7390254239415, 0, 0, 10, 10, 10, 4, 14, 8, 8, 7.29175777037899, .573929961089494, 2, 2, 0, 5, 5, 20,
 154,PP461533_Nepal_2023,MajorParent, 11.4090094468015, 20, 10, 5, 5, 0, 8, 18, 4, 4, 6.69543958716748, 1.30350194552529, 0, 0, 20, 2.5, 0, 0,
 154,MN181513_Nigeria_2010,MinorParent, 4.85196512925696, 10, 5, 0, 0, 0, 0, 0, 0, 0, 6.01280264245353, 1.16731517509728, 4, 1, 10, 0, 0, 15,
 155,OQ842413_USA_2009,Recombinant, 12.8604071717884, 20, 10, 0, 10, 10, 8, 14, 0, 0, 6.67653398895074, 0, 4, 0, 20, 0, 0, 20,
 155,PP621655_Thailand_2019,MajorParent, 7.84011130094396, 0, 0, 10, 0, 0, 4, 18, 8, 8, 5.88381492140515, .613437195715677, 0, 2, 0, 5, 5, 0,
 155,PP887984_Hungary_2023,MinorParent, 9.2994815272676, 10, 5, 5, 5, 0, 0, 0, 4, 4, 7.43965108964411, 0, 2, 1, 10, 2.5, 0, 15,
 156,OQ842451_USA_2013,Recombinant, 11.5689129053261, 10, 5, 5, 10, 5, 0, 0, 4, 8, 6.85261813994794, 1.35345666991237, 2, 1, 20, 2.5, 0, 15,
 156,PP887984_Hungary_2023,MajorParent, 8.66754949985735, 0, 0, 10, 5, 0, 8, 18, 8, 4, 6.42021900686169, .62317429406037, 0, 0, 0, 5, 5, 0,
 156,MN590273_France_2019,MinorParent, 9.76353759481652, 20, 10, 0, 0, 0, 4, 14, 0, 0, 6.72716285319037, 1.60662122687439, 4, 2, 20, 0, 0, 20,
 160,OL614976_Brazil_2016,Recombinant, 14.3652050469188, 20, 10, 10, 5, 0, 4, 14, 8, 0, 6.91263038507307, 1.9609756097561, 2, 1, 20, 2.5, 0, 15,
 160,OQ077987_Uganda_2012,MajorParent, 1.724404506772, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6.21530499260714, .712195121951219, 0, 2, 0, 5, 5, 0,
 160,MZ394039_China_2016,MinorParent, 13.9103904463092, 10, 5, 5, 10, 10, 8, 18, 4, 8, 6.87206462231979, 1.57073170731707, 4, 0, 10, 0, 0, 20,
 161,PP621655_Thailand_2019,Recombinant, 12.505015074062, 20, 10, 5, 5, 0, 8, 14, 4, 0, 7.01007218073985, 1.15234375, 4, 2, 20, 0, 0, 20,
 161,JQ801739_China_2009,MajorParent, 9.34713188480155, 0, 0, 10, 10, 0, 4, 18, 8, 8, 5.93124394486928, 1.015625, 0, 0, 0, 2.5, 0, 15,
 161,PP887984_Hungary_2023,MinorParent, 8.14785304113643, 20, 10, 0, 0, 0, 0, 0, 0, 4, 7.05868387439087, 1.142578125, 2, 1, 20, 5, 0, 0,
 162,MN166093_USA_2015,Recombinant, 17.0174024566343, 20, 10, 10, 10, 10, 8, 18, 8, 8, 7.25273861978981, 0, 4, 0, 20, 0, 0, 15,
 162,OQ791567_USA_2015,MajorParent, 9.68003154996713, 20, 10, 5, 0, 0, 4, 14, 4, 4, 7.27236755711709, 0, 0, 2, 20, 2.5, 5, 0,
 162,PP621613_Thailand_2019,MinorParent, 3.30256599339855, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5.4748938230931, 0, 2, 1, 0, 5, 5, 20,
 163,ON502337_China_2017,Recombinant, 16.914960436389, 10, 10, 10, 5, 0, 4, 14, 8, 8, 7.36768835661693, 5.85365853658537E-02, 4, 1, 20, 2.5, 0, 20,
 163,ON502207_China_2017,MajorParent, 11.2522298377314, 20, 5, 5, 10, 0, 8, 18, 4, 4, 6.3347612133514, 0, 0, 2, 20, 5, 5, 0,
 163,ON502283_China_2017,MinorParent, 1.83280972587963, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.29755043003167, .809756097560976, 2, 0, 0, 0, 0, 15,
 165,OQ791539_USA_2011,Recombinant, 19.0088293740615, 20, 10, 10, 10, 10, 8, 18, 8, 4, 6.94844752078613, 1.41187925998053, 2, 0, 20, 0, 0, 20,
 165,OQ077987_Uganda_2012,MajorParent, 2.74629034388684, 0, 0, 0, 0, 0, 4, 14, 0, 8, 6.12113733433828, .759493670886076, 0, 1, 0, 2.5, 0, 0,
 165,MH752986_USA_2004,MinorParent, 8.24488028205162, 10, 10, 5, 5, 0, 0, 0, 4, 0, 6.93041514487559, 2.00584225900682, 4, 2, 20, 5, 0, 15,
 166,MF678320_Australia_2008,Recombinant, 11.7070334647057, 20, 10, 5, 0, 0, 4, 14, 0, 0, 6.82638966676328, .788704965920156, 4, 0, 20, 0, 0, 20,
 166,PP621601_Nepal_2023,MajorParent, 8.51344323819871, 0, 0, 0, 10, 10, 8, 18, 4, 8, 6.41144886771692, 1.11002921129503, 0, 2, 0, 5, 5, 15,
 166,MH752986_USA_2004,MinorParent, 9.77952329709555, 20, 10, 10, 5, 0, 0, 0, 8, 4, 6.7621614655198, 1.06134371957157, 2, 1, 20, 2.5, 0, 0,
 167,OP207965_USA_2016,Recombinant, 14.7610539121815, 20, 1, 10, 5, 5, 8, 18, 8, 4, 6.19725929513909, 0, 4, 1, 20, 2.5, 0, 15,
 167,JX017381_China_2011,MajorParent, 12.4692998719339, 20, 1, 5, 0, 5, 4, 14, 4, 8, 7.21368696516092, 0, 0, 0, 20, 0, 0, 20,
 167,JX843811_China_2009,MinorParent, 2.76964621588456, 0, 1, 0, 10, 5, 0, 0, 0, 0, 6.5890537397, 0, 0, 2, 0, 5, 0, 0,
 168,MK069966_Brazil_2015,Recombinant, 15.1013396672025, 20, 1, 10, 10, 10, 8, 18, 8, 0, 6.30562153335943, .116959064327485, 4, 2, 20, 0, 0, 15,
 168,OQ791537_USA_2010,MajorParent, 1.34741113578854, 0, 1, 0, 0, 0, 0, 0, 0, 4, 6.53553266446399, 0, 0, 0, 0, 2.5, 0, 0,
 168,MF678341_Australia_2008,MinorParent, 13.551249197009, 20, 1, 5, 5, 0, 4, 14, 4, 8, 7.15884580217658, 0, 2, 1, 20, 5, 0, 20,
 169,JQ801739_China_2009,Recombinant, 13.9610757607862, 20, 1, 0, 5, 10, 8, 18, 0, 0, 6.85202906635546, .419103313840156, 4, 0, 20, 0, 0, 15,
 169,MZ540960_China_2018,MajorParent, 11.7586427320798, 0, 1, 10, 0, 0, 4, 14, 8, 4, 7.04902875097803, .623781676413255, 0, 2, 0, 5, 5, 20,
 169,PP887984_Hungary_2023,MinorParent, 4.280281507134, 0, 1, 5, 10, 0, 0, 0, 4, 8, 6.09894218266651, 0, 2, 1, 0, 2.5, 0, 0,
 170,PP461528_Nepal_2023,Recombinant, 14.9666897938062, 20, 10, 10, 5, 0, 4, 14, 8, 4, 6.90634970610082, 1.240234375, 4, 1, 20, 2.5, 0, 20,
 170,PP461533_Nepal_2023,MajorParent, 2.07817151915255, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6.43980283925713, 2.20703125, 0, 2, 0, 5, 5, 0,
 170,MK689070_Brazil_2014,MinorParent, 12.9551386870412, 20, 10, 5, 10, 10, 8, 18, 4, 0, 6.65384745464205, .1171875, 2, 0, 20, 0, 0, 15,
 171,KY888275_Hungary_1999,Recombinant, 17.6097336789489, 20, 5, 10, 0, 0, 8, 18, 8, 8, 7.28348613343892, 1.7578125, 4, 1, 20, 0, 0, 20,
 171,KX171336_China_2011,MajorParent, 1.94977385478594, 0, 0, 0, 5, 0, 0, 0, 0, 4, 6.06494078999423, 2.783203125, 0, 2, 0, 5, 5, 0,
 171,MH152412_Italy_1998,MinorParent, 10.4404924662651, 20, 10, 5, 10, 0, 4, 14, 4, 0, 6.65157307656685, 1.044921875, 2, 0, 20, 2.5, 0, 15,
 172,PP461533_Nepal_2023,Recombinant, 10.705232722646, 20, 10, 0, 5, 0, 0, 0, 0, 4, 7.44231758863112, 2.4609375, 2, 2, 20, 5, 0, 20,
 172,PP461523_Nepal_2023,MajorParent, 10.6862498237545, 0, 0, 10, 10, 10, 8, 18, 8, 8, 5.74647734840011, 1.865234375, 0, 0, 0, 2.5, 0, 0,
 172,MN181513_Nigeria_2010,MinorParent, 8.60851745359956, 10, 10, 5, 0, 0, 4, 14, 4, 0, 6.81120506296876, 2.080078125, 4, 1, 10, 0, 0, 15,
 173,KF990476_China_2012,Recombinant, 19.63702675079, 20, 10, 10, 10, 10, 8, 18, 8, 8, 6.95284827130905, 2.01171875, 4, 1, 20, 5, 0, 20,
 173,JX843811_China_2009,MajorParent, 2.75979023621429, 0, 0, 0, 5, 0, 4, 14, 0, 4, 6.27166113378937, 2.255859375, 0, 0, 0, 2.5, 0, 0,
 173,KX171336_China_2011,MinorParent, 7.60318301299566, 20, 10, 5, 0, 0, 0, 0, 4, 0, 6.77549059490158, 2.734375, 2, 2, 20, 0, 0, 15,
 174,MH716380_Viet-Nam_2014,Recombinant, 21.9273094942276, 20, 10, 10, 10, 0, 8, 18, 8, 8, 7.83494927826663, .44921875, 4, 2, 20, 5, 5, 20,
 174,MH716374_Viet-Nam_2014,MajorParent, 5.53259125777799, 0, 0, 5, 5, 0, 4, 14, 4, 4, 6.26629398126162, .693359375, 0, 1, 0, 2.5, 0, 15,
 174,MN053435_Malaysia_2006,MinorParent, 2.54009924799439, 10, 5, 0, 0, 0, 0, 0, 0, 0, 5.89875674047176, .625, 2, 0, 10, 0, 0, 0,
 175,MW183139_China_2007,Recombinant, 13.3295754657517, 20, 10, 0, 10, 10, 8, 18, 0, 8, 6.18157462121377, 0, 4, 0, 20, 0, 0, 20,
 175,MW183137_China_2007,MajorParent, 10.7203190053767, 20, 10, 5, 5, 0, 4, 14, 4, 4, 6.45811724149167, 0, 0, 1, 20, 2.5, 5, 15,
 175,KR107057_India_2010,MinorParent, 5.95010552887161, 0, 0, 10, 0, 0, 0, 0, 8, 0, 7.36030813729456, 0, 2, 2, 0, 5, 5, 0,
 176,FJ517649_Russia_Poliovirus-2,Recombinant, 20.6855452489389, 20, 10, 10, 10, 0, 8, 18, 8, 8, 11.1962386508454, 0, 2, 2, 20, 5, 0, 20,
 176,OR253701_USA_Poliovirus-1,MajorParent, 3.63314272770011, 0, 0, 0, 0, 0, 4, 14, 0, 4, 4.40401762590624, 4.35546875, 0, 1, 10, 2.5, 0, 0,
 176,KJ170677_Nigeria_Poliovirus-3,MinorParent, 5.681312023361, 10, 10, 5, 5, 10, 0, 0, 4, 0, 4.39974372324832, 2.5390625, 4, 0, 0, 0, 0, 15,
 177,JX275347_Nigeria_Poliovirus-2,Recombinant, 20.3676843299383, 20, 1, 10, 0, 0, 0, 0, 8, 8, 9.13386231303027, 0, 2, 2, 20, 5, 0, 15,
 177,KY941933_Nigeria_Poliovirus-3,MajorParent, 9.06036775446534, 10, 1, 5, 0, 0, 0, 0, 4, 4, 6.5098010631777, .177690029615005, 0, 1, 10, 2.5, 0, 20,
 177,ON596437_Nigeria_Poliovirus-2,MinorParent, .571947915596327, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4.35633662379202, 0, 4, 0, 0, 0, 0, 0,
 178,MH144606_India_Enterovirus-C99,Recombinant, 21.2843923111726, 20, 10, 10, 10, 10, 8, 18, 8, 8, 9.91577170663214, 1.51036525172754, 4, 1, 20, 2.5, 0, 20,
 178,PP756365_France_Enterovirus-C99,MajorParent, 5.64705107871502, 0, 0, 0, 5, 0, 4, 14, 0, 4, 5.84696988724417, 0, 0, 2, 0, 5, 5, 15,
 178,MH144607_India_2012,MinorParent, 3.06855661011237, 10, 5, 5, 0, 0, 0, 0, 4, 0, 4.23725840612369, 1.13524185587364, 2, 0, 10, 0, 0, 0,
 179,OP441391_China_2013,Recombinant, 14.9527800523727, 10, 1, 10, 10, 10, 8, 14, 8, 8, 6.8446954495327, 1.55138339920949, 4, 1, 10, 2.5, 0, 20,
 179,OP672302_China_2014,MajorParent, 10.9916031429674, 20, 1, 0, 5, 0, 4, 18, 0, 4, 7.34459364380327, 1.31422924901186, 0, 0, 20, 0, 0, 0,
 179,JX017381_China_2011,MinorParent, 4.05561680465989, 0, 1, 5, 0, 0, 0, 0, 4, 0, 5.81071090666403, .50395256916996, 2, 2, 0, 5, 0, 15,
 180,MZ540960_China_2018,Recombinant, 15.6166734992242, 20, 10, 10, 10, 0, 4, 14, 8, 4, 7.25590541681486, .99802371541502, 4, 1, 20, 2.5, 0, 20,
 180,MG720260_China_2015,MajorParent, 4.80054010865567, 0, 0, 0, 5, 10, 0, 0, 0, 8, 5.64569814631733, 3.3695652173913, 0, 2, 0, 5, 5, 15,
 180,KX641240_China_2013,MinorParent, 9.58278639212017, 20, 10, 5, 0, 0, 8, 18, 4, 0, 7.09839643686781, 0, 4, 0, 20, 0, 0, 0,
 181,PP621642_Thailand_2019,Recombinant, 13.5026346397592, 20, 10, 10, 5, 0, 8, 18, 8, 8, 6.80569355319434, .868706811451135, 0, 1, 20, 2.5, 0, 0,
 181,OQ791570_USA_2016,MajorParent, 6.62591522603281, 0, 0, 5, 0, 10, 4, 14, 0, 4, 6.19191238328224, 1.00691016781836, 2, 2, 0, 5, 5, 15,
 181,MF678342_Australia_2008,MinorParent, 9.87145013420802, 20, 10, 0, 10, 0, 0, 0, 4, 0, 7.00239406352342, .760118460019743, 4, 0, 20, 0, 0, 20,
 182,LC506515_Japan_2007,Recombinant, 17.8309697236576, 20, 10, 5, 0, 10, 0, 0, 4, 4, 7.05762746888308, .256663376110563, 4, 2, 20, 5, 5, 20,
 182,KF501389_China_2010,MajorParent, 9.36691150103477, 10, 10, 10, 0, 0, 0, 0, 8, 8, 6.84679953260554, .256663376110563, 0, 1, 10, 0, 0, 0,
 182,KY315729_China_2015,MinorParent, 2.80211877530767, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.09557299851138, 0, 2, 0, 0, 2.5, 0, 15,
 183,MH484165_Brazil_Enterovirus-C96,Recombinant, 14.9540074872696, 20, 10, 10, 5, 5, 8, 18, 8, 4, 6.72185264547939, 0, 2, 0, 20, 0, 0, 20,
 183,OP137286_Israel_Poliovirus-3,MajorParent, 3.92519579396955, 0, 0, 0, 10, 5, 4, 14, 0, 0, 6.07433170075038, .118460019743337, 0, 1, 0, 5, 5, 0,
 183,HQ415758_China_Enterovirus-C96,MinorParent, 11.1207967187608, 20, 10, 5, 0, 5, 0, 0, 4, 8, 7.20381565377023, 1.51036525172754, 4, 2, 20, 2.5, 0, 15,
 184,KF982854_China_2012,Recombinant, 16.2063208039575, 20, 10, 10, 0, 5, 8, 18, 4, 4, 8.50469083343165, .583580613254204, 2, 2, 20, 5, 5, 20,
 184,HQ424436_Greece_2010,MajorParent, 9.52960734748374, 20, 5, 5, 5, 5, 0, 0, 8, 8, 5.60819348943283, 2.17606330365974, 0, 1, 20, 0, 0, 15,
 184,JQ742001_China_2001,MinorParent, 4.26407184855872, 0, 0, 0, 10, 5, 4, 14, 0, 0, 5.88711567713552, .306627101879327, 4, 0, 0, 2.5, 5, 0,
 185,MH716381_Viet-Nam_2013,Recombinant, 21.4002129565092, 20, 10, 10, 10, 10, 8, 18, 8, 8, 7.04567230565927, 1.32542037586548, 4, 2, 20, 5, 0, 20,
 185,KJ686222_Viet-Nam_2012,MajorParent, 1.17609199025606, 0, 0, 0, 5, 0, 0, 0, 0, 4, 6.41741035964577, 1.20672601384768, 0, 0, 0, 2.5, 0, 0,
 185,KJ686176_Viet-Nam_2012,MinorParent, 7.42369505323475, 10, 10, 5, 0, 0, 4, 14, 4, 0, 6.53691733469495, 1.32542037586548, 2, 1, 10, 0, 0, 15,
 189,PP621674_Thailand_2019,Recombinant, 20.057883834265, 20, 10, 10, 10, 10, 8, 18, 8, 8, 6.95944347396618, 2.22222222222222, 2, 1, 20, 5, 0, 20,
 189,KR107055_India_2009,MajorParent, 1.37293380786836, 0, 0, 0, 5, 0, 0, 0, 0, 4, 6.35056735510938, 1.60275319567355, 0, 2, 0, 2.5, 0, 0,
 189,MH043137_Latvia_2014,MinorParent, 8.56918235786667, 10, 10, 5, 0, 0, 4, 14, 4, 0, 6.68998917092444, 2.23205506391347, 4, 0, 20, 0, 0, 15,
 190,MH341711_China_2016,Recombinant, 22.1188119447061, 20, 10, 10, 10, 10, 8, 18, 8, 8, 8.62475318347293, 9.83284169124877E-02, 4, 2, 20, 5, 0, 20,
 190,MT791932_France_2016,MajorParent, 3.62987972008159, 0, 0, 0, 5, 0, 4, 14, 0, 4, 5.97315887890977, .894788593903638, 0, 0, 0, 2.5, 0, 0,
 190,MK105986_France_2018,MinorParent, 4.25130833521231, 10, 0, 5, 0, 0, 0, 0, 4, 0, 5.4020879376173, 8.84955752212389E-02, 2, 1, 10, 0, 0, 15,
 191,MW365443_China_2019,Recombinant, 18.1176768164281, 20, 10, 10, 5, 5, 8, 18, 8, 8, 7.01209650317341, 1.50442477876106, 2, 1, 20, 5, 0, 20,
 191,KJ755190_China_1999,MajorParent, 2.21875397626327, 0, 0, 0, 10, 5, 0, 0, 0, 4, 6.23910683533551, 2.3992133726647, 0, 2, 0, 2.5, 0, 0,
 191,MH144600_India_2013,MinorParent, 9.66356920730862, 20, 10, 5, 0, 5, 4, 14, 4, 0, 6.74879666149108, 1.65191740412979, 4, 0, 20, 0, 0, 15,
 192,MF678342_Australia_2008,Recombinant, 16.7500700368737, 20, 10, 10, 10, 5, 8, 18, 8, 4, 7.05495925062035, .845624385447394, 2, 0, 20, 2.5, 0, 15,
 192,KJ755189_China_1999,MajorParent, 2.74633252405312, 0, 0, 0, 5, 5, 0, 0, 0, 8, 6.07932973053445, .825958702064897, 0, 2, 0, 5, 5, 0,
 192,MH144600_India_2013,MinorParent, 10.5035974390732, 20, 10, 5, 0, 5, 4, 14, 4, 0, 6.8657110188452, .786627335299902, 4, 1, 20, 0, 0, 20,
 193,MG451809_United-Kingdom_2017,Recombinant, 15.4892874688064, 20, 10, 10, 5, 0, 4, 14, 8, 0, 7.63471989691723, 0, 4, 2, 20, 5, 5, 15,
 193,JX017381_China_2011,MajorParent, .59248248899285, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4.91495018177862, 0, 2, 0, 0, 0, 0, 0,
 193,MH144604_India_2013,MinorParent, 13.9182300422008, 10, 10, 5, 10, 10, 8, 18, 4, 8, 7.45032992130415, 2.94985250737463E-02, 0, 1, 10, 2.5, 5, 20,
 195,OP207962_USA_2015,Recombinant, 14.8303357671879, 20, 1, 5, 5, 5, 8, 18, 4, 8, 7.06749635794685, 1.09696376101861, 4, 2, 20, 0, 0, 15,
 195,OQ791514_USA_2009,MajorParent, 2.12520960371708, 0, 1, 0, 0, 5, 0, 0, 0, 4, 6.57499523686105, 1.93927522037218, 2, 0, 0, 2.5, 0, 0,
 195,MH152412_Italy_1998,MinorParent, 13.044454629095, 20, 1, 10, 10, 5, 4, 14, 8, 0, 6.3575084051921, 1.88050930460333, 0, 1, 20, 5, 0, 20,
 196,OQ077987_Uganda_2012,Recombinant, 15.9180444093216, 0, 1, 10, 0, 10, 8, 14, 8, 8, 6.93589598311718, 1.7156862745098, 4, 2, 20, 5, 5, 20,
 196,MG451806_United-Kingdom_2016,MajorParent, 10.7723917399325, 0, 1, 5, 10, 0, 4, 18, 4, 4, 7.05382634773135, 1.69607843137255, 2, 1, 10, 0, 0, 15,
 196,MG451805_United-Kingdom_2016,MinorParent, 3.30956385074596, 20, 1, 0, 5, 0, 0, 0, 0, 0, 6.01027766915147, 1.53921568627451, 0, 0, 0, 2.5, 0, 0,
 198,MH152412_Italy_1998,Recombinant, 11.5160016121311, 20, 10, 10, 5, 10, 4, 14, 8, 0, 6.38741636313088, 1.07843137254902, 2, 0, 20, 2.5, 0, 0,
 198,PP621691_Nepal_2023,MajorParent, 7.10286336136553, 0, 0, 0, 10, 0, 0, 0, 0, 8, 7.09406311786012, 1.66666666666667, 0, 2, 0, 5, 5, 20,
 198,PP621689_Nepal_2023,MinorParent, 11.3811350265033, 20, 10, 5, 0, 0, 8, 18, 4, 4, 6.518520519009, .754901960784314, 4, 1, 20, 0, 0, 15,
